antecedent,consequent,support,confidence,lift
program=information technology (tfw);stream=b.e/b. tech,category=tuition fee waiver,0.022928,1.0,6.291783
program=information technology (tfw);quota=home state,stream=b.e/b. tech,0.022928,1.0,1.007099
program=information technology (tfw);stream=b.e/b. tech,quota=home state,0.022928,1.0,1.626675
category=tuition fee waiver;district=north 24 parganas,quota=home state,0.022557,1.0,1.626675
category=tuition fee waiver;district=north 24 parganas,stream=b.e/b. tech,0.022557,1.0,1.007099
district=south 24 parganas;quota=home state,stream=b.e/b. tech,0.022112,1.0,1.007099
district=nadia;quota=all india,category=open,0.021741,1.0,2.260483
district=nadia;quota=all india,stream=b.e/b. tech,0.021741,1.0,1.007099
district=north 24 parganas;program=computer science & engineering,stream=b.e/b. tech,0.021518,1.0,1.007099
program=chemical engineering,stream=b.e/b. tech,0.020257,1.0,1.007099
quota=all india,stream=b.e/b. tech,0.384655,0.998459,1.005547
category=open;quota=all india,stream=b.e/b. tech,0.384655,0.998459,1.005547
district=paschim bardhaman,stream=b.e/b. tech,0.080953,0.99817,1.005256
category=open;district=paschim bardhaman,stream=b.e/b. tech,0.042962,0.996558,1.003632
district=paschim bardhaman;quota=all india,stream=b.e/b. tech,0.042962,0.996558,1.003632
category=open,stream=b.e/b. tech,0.440825,0.996478,1.003552
category=tuition fee waiver,stream=b.e/b. tech,0.15827,0.995798,1.002868
category=tuition fee waiver;quota=home state,stream=b.e/b. tech,0.15827,0.995798,1.002868
category=ews,stream=b.e/b. tech,0.046746,0.993691,1.000745
category=ews;quota=home state,stream=b.e/b. tech,0.046746,0.993691,1.000745
category=sc,stream=b.e/b. tech,0.100913,0.990532,0.997564
category=sc;quota=home state,stream=b.e/b. tech,0.100913,0.990532,0.997564
quota=home state,stream=b.e/b. tech,0.608296,0.989499,0.996524
category=obc - a,stream=b.e/b. tech,0.073533,0.988036,0.99505
category=obc - a;quota=home state,stream=b.e/b. tech,0.073533,0.988036,0.99505
district=cooch behar,quota=home state,0.030422,0.987952,1.607076
district=cooch behar;stream=b.e/b. tech,quota=home state,0.030422,0.987952,1.607076
category=obc - b,stream=b.e/b. tech,0.070045,0.987448,0.994458
category=obc - b;quota=home state,stream=b.e/b. tech,0.070045,0.987448,0.994458
category=st,stream=b.e/b. tech,0.062032,0.984688,0.991678
category=st;quota=home state,stream=b.e/b. tech,0.062032,0.984688,0.991678
district=howrah,stream=b.e/b. tech,0.02597,0.983146,0.990126
category=open;quota=home state,stream=b.e/b. tech,0.05617,0.983117,0.990096
category=open (pwd),stream=b.e/b. tech,0.029012,0.972637,0.979542
category=open (pwd);quota=home state,stream=b.e/b. tech,0.029012,0.972637,0.979542
category=open;district=north 24 parganas,quota=all india,0.066187,0.93796,2.434686
category=open;program=electronics & communication engineering,quota=all india,0.040142,0.895695,2.324978
category=open;program=computer science & engineering,quota=all india,0.066409,0.888779,2.307024
category=open;stream=b.e/b. tech,quota=all india,0.384655,0.87258,2.264978
category=open,quota=all india,0.385249,0.870849,2.260483
category=open;district=hooghly,quota=all india,0.023076,0.866295,2.248664
category=open;program=information technology,quota=all india,0.036729,0.856401,2.222982
category=open;program=civil engineering,quota=all india,0.028493,0.855234,2.219951
category=open;program=electrical engineering,quota=all india,0.04452,0.848656,2.202878
district=jalpaiguri,stream=b.e/b. tech,0.035542,0.84629,0.852298
district=jalpaiguri;quota=home state,stream=b.e/b. tech,0.035542,0.84629,0.852298
category=open;district=nadia,quota=all india,0.021741,0.832386,2.160645
category=open;district=kolkata,quota=all india,0.107517,0.823295,2.137048
district=murshidabad,quota=home state,0.023299,0.82199,1.33711
