antecedent,consequent,support,confidence,lift
quota=home state,program=mechanical engineering,0.040736,0.066264,0.945021
quota=all india;stream=b.e/b. tech,district=purba medinipur,0.025302,0.065779,1.515398
quota=all india,district=purba medinipur,0.025302,0.065678,1.513063
category=open;quota=all india,district=purba medinipur,0.025302,0.065678,1.513063
stream=b.e/b. tech,category=st,0.062032,0.062472,0.991678
quota=home state;stream=b.e/b. tech,district=paschim bardhaman,0.037991,0.062454,0.770079
quota=home state,district=paschim bardhaman,0.037991,0.061798,0.761992
quota=home state;stream=b.e/b. tech,program=computer science & engineering - tfw,0.037323,0.061356,1.643938
category=open;stream=b.e/b. tech,program=computer science & engineering (artificial intelligence and machine learning),0.026786,0.060764,1.734998
quota=home state,program=computer science & engineering - tfw,0.037323,0.060712,1.626675
category=open,program=computer science & engineering (artificial intelligence and machine learning),0.026786,0.06055,1.728886
category=open;stream=b.e/b. tech,district=hooghly,0.026638,0.060428,1.067342
category=open,district=hooghly,0.026638,0.060215,1.063582
quota=all india;stream=b.e/b. tech,district=hooghly,0.023076,0.059992,1.059654
quota=all india,district=hooghly,0.023076,0.0599,1.058021
category=open;quota=all india,district=hooghly,0.023076,0.0599,1.058021
category=open;stream=b.e/b. tech,district=nadia,0.026119,0.059249,0.757593
category=open,district=nadia,0.026119,0.059041,0.754924
quota=home state;stream=b.e/b. tech,district=jalpaiguri,0.035542,0.058429,1.391247
stream=b.e/b. tech,program=civil engineering,0.057283,0.057689,1.007099
category=open;stream=b.e/b. tech,district=purba medinipur,0.025302,0.057398,1.322307
category=open,district=purba medinipur,0.025302,0.057196,1.317649
stream=b.e/b. tech,district=hooghly,0.056615,0.057017,1.007099
quota=all india;stream=b.e/b. tech,district=nadia,0.021741,0.05652,0.722695
quota=all india,district=nadia,0.021741,0.056433,0.721582
category=open;quota=all india,district=nadia,0.021741,0.056433,0.721582
quota=home state;stream=b.e/b. tech,district=hooghly,0.033539,0.055135,0.973866
quota=home state,district=hooghly,0.033539,0.054556,0.96364
quota=home state;stream=b.e/b. tech,program=electronics & communication engineering,0.031758,0.052208,0.726115
quota=home state,program=electronics & communication engineering,0.031758,0.05166,0.71849
quota=home state;stream=b.e/b. tech,district=cooch behar,0.030422,0.050012,1.624131
quota=home state,district=cooch behar,0.030422,0.049487,1.607076
quota=home state,category=open (pwd),0.029829,0.048521,1.626675
quota=home state;stream=b.e/b. tech,category=open (pwd),0.029012,0.047695,1.598954
quota=home state;stream=b.e/b. tech,program=civil engineering,0.02879,0.047329,0.826228
stream=b.e/b. tech,category=ews,0.046746,0.047078,1.000745
quota=home state,program=civil engineering,0.02879,0.046832,0.817552
quota=home state;stream=b.e/b. tech,district=purulia,0.027603,0.045377,1.643938
quota=home state,district=purulia,0.027603,0.0449,1.626675
stream=b.e/b. tech,district=purba medinipur,0.043407,0.043715,1.007099
quota=home state;stream=b.e/b. tech,district=murshidabad,0.023299,0.038302,1.351299
quota=home state,district=murshidabad,0.023299,0.0379,1.33711
quota=home state;stream=b.e/b. tech,program=information technology (tfw),0.022928,0.037692,1.643938
stream=b.e/b. tech,program=computer science & engineering - tfw,0.037323,0.037588,1.007099
quota=home state,program=information technology (tfw),0.022928,0.037296,1.626675
quota=home state;stream=b.e/b. tech,district=south 24 parganas,0.022112,0.03635,0.519505
quota=home state,district=south 24 parganas,0.022112,0.035969,0.51405
stream=b.e/b. tech,district=jalpaiguri,0.035542,0.035794,0.852298
stream=b.e/b. tech,program=computer science & engineering (artificial intelligence and machine learning),0.035023,0.035271,1.007099
stream=b.e/b. tech,district=cooch behar,0.030793,0.031012,1.007099
stream=b.e/b. tech,category=open (pwd),0.029012,0.029218,0.979542
stream=b.e/b. tech,district=murshidabad,0.028345,0.028546,1.007099
stream=b.e/b. tech,district=purulia,0.027603,0.027799,1.007099
stream=b.e/b. tech,district=howrah,0.02597,0.026155,0.990126
stream=b.e/b. tech,district=malda,0.025302,0.025482,1.007099
stream=b.e/b. tech,program=computer science & engineering (data science),0.023225,0.02339,1.007099
stream=b.e/b. tech,program=information technology (tfw),0.022928,0.023091,1.007099
stream=b.e/b. tech,program=chemical engineering,0.020257,0.020401,1.007099
