Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
1404,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,ST,7548.0,16441
1405,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,ST,4572.0,9932
1407,Round 1,"Heritage Institute of Technology, Kolkata",Electrical Engineering,B.E/B. Tech,Home State,ST,27733.0,27733
1408,Round 1,"Heritage Institute of Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,ST,15022.0,15022
1409,Round 1,University Of Calcutta,Electrical Engineering,B.E/B. Tech,Home State,ST,17160.0,17160
1410,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,ST,13361.0,16955
1411,Round 1,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,ST,25165.0,32332
1412,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,ST,33211.0,34779
1413,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,ST,24484.0,26620
1414,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,ST,24714.0,31507
1415,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,ST,32714.0,35277
1416,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,ST,31627.0,44326
1417,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,ST,12926.0,24406
1418,Round 1,"Heritage Institute of Technology, Kolkata",Civil Engineering,B.E/B. Tech,Home State,ST,31572.0,31572
1419,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Civil Engineering,B.E/B. Tech,Home State,ST,57017.0,57017
1420,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,ST,5942.0,18478
1422,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,ST,33288.0,33288
1423,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,ST,29089.0,31610
1424,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,ST,37822.0,37822
1425,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,ST,34745.0,35755
1426,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,ST,13766.0,19772
1427,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,ST,31010.0,36980
1428,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Data Science),B.E/B. Tech,Home State,ST,40672.0,40672
1429,Round 1,"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),B.E/B. Tech,Home State,ST,45411.0,45440
1430,Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,Home State,ST,22875.0,22875
1432,Round 1,Jadavpur University,Architectural Engineering,B.E/B. Tech,Home State,ST,14838.0,29646
1438,Round 2,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,ST,17173.0,24577
1439,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,ST,30187.0,63014
1440,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,ST,43272.0,43272
1441,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,ST,49061.0,62298
1442,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,ST,17452.0,26801
1443,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,ST,48288.0,54358
1444,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,ST,19134.0,35267
1445,Round 2,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,ST,11510.0,16955
1447,Round 2,University Of Calcutta,Chemical Engineering,B.E/B. Tech,Home State,ST,31409.0,31409
1449,Round 2,"Heritage Institute of Technology, Kolkata",Chemical Engineering,B.E/B. Tech,Home State,ST,51166.0,51166
1450,Round 2,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,ST,12298.0,22875
1451,Round 2,Jadavpur University,Information Technology,B.E/B. Tech,Home State,ST,4344.0,5344
1452,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,ST,34779.0,47520
1453,Round 2,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,ST,14599.0,14599
1454,Round 2,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,ST,32753.0,36831
1457,Round 2,"Heritage Institute of Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,ST,19064.0,19064
1458,Round 2,University Of Calcutta,Electrical Engineering,B.E/B. Tech,Home State,ST,18619.0,18619
1460,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,ST,16688.0,20869
1461,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,ST,32332.0,39494
1462,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,ST,26620.0,30228
1463,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,ST,24714.0,41660
1464,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,ST,32714.0,40362
1465,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,ST,12926.0,54502
1466,Round 2,"Heritage Institute of Technology, Kolkata",Electrical Engineering,B.E/B. Tech,Home State,ST,32296.0,32296
1468,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,ST,31627.0,54799
1469,Round 2,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,ST,13290.0,23204
1470,Round 2,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,ST,4572.0,10124
1471,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,ST,31610.0,34572
1472,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,ST,37822.0,37822
1473,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,ST,34745.0,35755
1474,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,ST,41525.0,41525
1475,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,ST,32240.0,51450
1476,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,ST,13766.0,19772
1477,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,OBC - A,12731.0,20932
1478,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,OBC - A,13416.0,15299
1479,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,OBC - A,16675.0,22967
1480,Round 2,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,OBC - A,4177.0,7233
1481,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,15806.0,20851
1482,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,13346.0,22600
1483,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,6182.0,10326
1484,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,12342.0,19996
1485,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,19164.0,20556
1486,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,13848.0,14734
1487,Round 2,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,OBC - A,2508.0,3438
1488,Round 2,University Of Calcutta,Electrical Engineering,B.E/B. Tech,Home State,OBC - A,5998.0,5998
1489,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,37707.0,37707
1490,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,9918.0,13931
1491,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,4945.0,6505
1492,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,10864.0,14803
1493,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - A,7305.0,9071
1494,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,OBC - A,11654.0,16907
1495,Round 2,Jadavpur University,Information Technology,B.E/B. Tech,Home State,OBC - A,869.0,2030
1496,Round 2,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - A,11709.0,12504
1497,Round 2,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - A,4454.0,4713
1499,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,16654.0,20834
1500,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,6191.0,10199
1501,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,23282.0,25008
1502,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,16029.0,22264
1503,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,18399.0,21658
1504,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,12678.0,15890
1505,Round 2,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,3402.0,5469
1506,Round 2,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,3692.0,5833
1507,Round 2,University Of Calcutta,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,7665.0,7665
1528,Round 2,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,OBC - A,6041.0,7047
1529,Round 2,"Jis College of Engineering, Kalyani, Nadia",Biomedical Engineering,B.E/B. Tech,Home State,OBC - A,46446.0,46446
