Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
1,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,OBC - A,11222.0,12820
2,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,OBC - A,9856.0,14544
3,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,OBC - A,11778.0,16605
4,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Civil Engineering,B.E/B. Tech,Home State,OBC - A,31869.0,31869
5,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,OBC - A,4177.0,6176
6,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Civil Engineering,B.E/B. Tech,Home State,OBC - A,62915.0,62915
7,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,15499.0,15865
8,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,13346.0,15387
9,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,4485.0,7503
10,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,12342.0,13848
11,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,8275.0,10762
12,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,9365.0,10326
13,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,39287.0,39287
14,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,49763.0,49763
15,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,58196.0,58196
16,Round 1,"Ideal Institute of Engineering, Kalyani",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,61063.0,61063
17,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,OBC - A,2462.0,3169
18,Round 1,University Of Calcutta,Electrical Engineering,B.E/B. Tech,Home State,OBC - A,4713.0,4713
19,Round 1,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,9759.0,10842
20,Round 1,"Seacom Engineering College, Sankrail, Howrah",Information Technology,B.E/B. Tech,Home State,OBC - B,61651.0,61651
21,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,603.0,1124
22,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,4533.0,4666
23,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,9286.0,9289
24,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,8191.0,8662
25,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - B,1047.0,1414
26,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,64351.0,64351
28,Round 1,University Of Calcutta,Chemical Engineering,B.E/B. Tech,Home State,OBC - B,2565.0,2565
34,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Chemical Engineering,B.E/B. Tech,Home State,OBC - B,28366.0,31943
47,Round 1,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,OBC - B,1440.0,1965
61,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,4219.0,5754
62,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,7497.0,10864
63,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - A,6865.0,7411
64,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,OBC - A,11522.0,11933
65,Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Information Technology,B.E/B. Tech,Home State,OBC - A,51314.0,51314
67,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Information Technology,B.E/B. Tech,Home State,OBC - A,42583.0,62153
68,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Information Technology,B.E/B. Tech,Home State,OBC - A,32645.0,32645
69,Round 1,"Jis College of Engineering, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,33184.0,33184
70,Round 1,Jadavpur University,Information Technology,B.E/B. Tech,Home State,OBC - A,759.0,1207
71,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,26294.0,26294
72,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - A,8194.0,10437
74,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - A,3193.0,3366
75,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,57381.0,57381
76,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,11077.0,16654
77,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,5581.0,6935
78,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,14489.0,18317
79,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,12678.0,14476
80,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,15747.0,16010
81,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,7233.0,11892
82,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,2683.0,4416
83,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,3341.0,4747
84,Round 1,University Of Calcutta,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,5506.0,5506
86,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Chemical Engineering,B.E/B. Tech,Home State,OBC - A,32737.0,61599
121,Round 1,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,OBC - A,5178.0,6612
122,Round 1,"Jis College of Engineering, Kalyani, Nadia",Biomedical Engineering,B.E/B. Tech,Home State,OBC - A,21012.0,21012
123,Round 1,"Kaji Nazrul University, Asansol",Mining Engineering,B.E/B. Tech,Home State,OBC - A,16775.0,20001
124,Round 1,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B. Tech,Home State,OBC - A,7486.0,11055
125,Round 1,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,Home State,OBC - A,17734.0,20230
127,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,OBC - A,11210.0,18171
128,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B. Tech,Home State,OBC - A,12620.0,17108
129,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,OBC - A,11409.0,16930
130,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B. Tech,Home State,OBC - A,14154.0,19708
131,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Food Technology,B.E/B. Tech,Home State,OBC - A,39766.0,39766
132,Round 1,"Hemnalini Memorial College of Engineering, Haringhata",Food Technology,B.E/B. Tech,Home State,OBC - A,43380.0,47050
133,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,OBC - A,3469.0,7188
134,Round 1,"Jis College of Engineering, Kalyani, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,OBC - A,32505.0,32505
137,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Apparel & Production Management,B.E/B. Tech,Home State,OBC - A,18585.0,19788
142,Round 1,"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,B. Pharma,Home State,OBC - A,2672.0,3122
146,Round 1,Jadavpur University,B.Pharm/Pharmaceutical Technology,B.E/B. Tech,Home State,OBC - A,2567.0,3331
153,Round 1,Jadavpur University,Construction Engineering,B.E/B. Tech,Home State,OBC - A,5289.0,7984
166,Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B. Tech,Home State,OBC - A,4819.0,7142
171,Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B. Tech,Home State,OBC - A,8561.0,8561
172,Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B. Tech,Home State,OBC - A,7909.0,7909
177,Round 1,Jadavpur University,Architectural Engineering,B.E/B. Tech,Home State,OBC - A,5445.0,8409
180,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,Home State,OBC - A,28058.0,28058
182,Round 1,"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),B.E/B. Tech,Home State,OBC - A,9991.0,15993
183,Round 1,Swami Vivekananda University,Data Science,B.E/B. Tech,Home State,OBC - A,49782.0,57852
187,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - A (PwD),43172.0,43172
188,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - A (PwD),24137.0,24137
189,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A (PwD),53108.0,53108
190,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A (PwD),34326.0,34326
191,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,OBC - A (PwD),10086.0,10086
192,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,OBC - A (PwD),25286.0,25286
193,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,OBC - A (PwD),41357.0,41357
194,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,OBC - B,5642.0,6121
195,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,OBC - B,11189.0,11244
196,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,OBC - B,9130.0,9849
197,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,OBC - B,1111.0,2055
198,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,58621.0,62434
199,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,3860.0,4383
200,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,6216.0,6599
201,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,8097.0,8494
202,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,2246.0,2459
203,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,8607.0,9025
204,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,9449.0,9810
205,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,OBC - B,403.0,764
206,Round 1,"Ideal Institute of Engineering, Kalyani",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,61861.0,61861
207,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",Electrical Engineering,B.E/B. Tech,Home State,OBC - B,54810.0,58877
208,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - B,1912.0,2237
209,Round 1,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - B,4042.0,5220
210,Round 1,University Of Calcutta,Electrical Engineering,B.E/B. Tech,Home State,OBC - B,1807.0,1807
211,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,OBC - B,5064.0,5740
212,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - B,3583.0,3713
213,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - B,5184.0,5280
214,Round 1,"Institute of Science and Technology, Paschim Medinipur",Information Technology,B.E/B. Tech,Home State,OBC - B,55926.0,64821
215,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Information Technology,B.E/B. Tech,Home State,OBC - B,39615.0,44518
216,Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Information Technology,B.E/B. Tech,Home State,OBC - B,63237.0,64619
218,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,2528.0,3118
219,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,10236.0,10580
220,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,10962.0,11172
221,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - B,1305.0,1526
223,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - B,3613.0,4558
224,Round 1,Jadavpur University,Information Technology,B.E/B. Tech,Home State,OBC - B,311.0,537
226,Round 1,"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,B. Pharma,Home State,OBC - B,2102.0,2244
230,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Apparel & Production Management,B.E/B. Tech,Home State,OBC - B,13022.0,13321
233,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,OBC - B,2985.0,3976
234,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B. Tech,Home State,OBC - B,12806.0,12806
235,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,OBC - B,9527.0,9538
236,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B. Tech,Home State,OBC - B,9768.0,10344
237,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,OBC - B,10816.0,11952
239,Round 1,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,Home State,OBC - B,11843.0,12786
240,Round 1,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B. Tech,Home State,OBC - B,6915.0,8465
241,Round 1,"Kaji Nazrul University, Asansol",Mining Engineering,B.E/B. Tech,Home State,OBC - B,11619.0,12171
249,Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B. Tech,Home State,OBC - B,2726.0,2915
259,Round 1,Jadavpur University,Construction Engineering,B.E/B. Tech,Home State,OBC - B,2242.0,2464
266,Round 1,Jadavpur University,B.Pharm/Pharmaceutical Technology,B.E/B. Tech,Home State,OBC - B,2472.0,3051
271,Round 1,Swami Vivekananda University,Data Science,B.E/B. Tech,Home State,OBC - B,48744.0,56033
272,Round 1,"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),B.E/B. Tech,Home State,OBC - B,5948.0,6070
274,Round 1,Jadavpur University,Architectural Engineering,B.E/B. Tech,Home State,OBC - B,3194.0,3399
277,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - B (PwD),34729.0,34729
278,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,OBC - B (PwD),18938.0,18938
279,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,OBC - B (PwD),36226.0,36226
282,Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electrical & Electronics Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7804.0,11376
284,Round 1,"Techno India University, Salt Lake",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,13310.0,13815
286,Round 1,Jadavpur University,Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,704.0,1287
288,Round 1,"Heritage Institute of Technology, Kolkata",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8254.0,8974
289,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,14625.0,17175
290,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4148.0,6625
291,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4165.0,4748
292,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4605.0,6359
293,Round 1,University Of Calcutta,Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1064.0,1064
295,Round 1,"Techno India University, Salt Lake",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7028.0,9998
296,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5656.0,9324
297,Round 1,Jadavpur University,Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,127.0,398
298,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9305.0,10948
299,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8406.0,16603
300,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,12747.0,16087
303,Round 1,"Heritage Institute of Technology, Kolkata",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3992.0,5526
304,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,13441.0,14394
305,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,10292.0,12294
306,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,10976.0,15664
307,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2581.0,2760
308,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3783.0,4395
309,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4618.0,6408
310,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1577.0,2018
311,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5533.0,6823
313,Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electrical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,11134.0,13257
314,Round 1,"Techno India University, Salt Lake",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9829.0,13458
316,Round 1,Jadavpur University,Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,335.0,677
319,Round 1,"Heritage Institute of Technology, Kolkata",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5589.0,7784
320,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,12630.0,14426
321,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3141.0,3434
322,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4608.0,6075
323,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5124.0,5400
324,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5524.0,8126
325,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2202.0,2255
328,Round 1,University Of Calcutta,Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,832.0,832
330,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2264.0,2524
332,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3483.0,4170
333,Round 1,Jadavpur University,Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,142.0,283
334,Round 1,"Rcc Institute of Information Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6871.0,8778
335,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6891.0,8697
336,Round 1,"Techno International New Town, Rajarhat, New Town",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,6297.0,12309
337,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5151.0,5891
338,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9758.0,11764
339,Round 1,"Meghnad Saha Institute of Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5884.0,8123
340,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8569.0,9639
341,Round 1,"Jis College of Engineering, Kalyani, Nadia",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,11854.0,13708
343,Round 1,"Heritage Institute of Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2599.0,2866
344,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9473.0,13017
345,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5720.0,7626
346,Round 1,"B.P. Poddar Institute of Management & Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7675.0,8259
347,Round 1,"College of Engineering and Management, Kolaghat",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,12931.0,13992
348,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7376.0,11706
349,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3981.0,4080
350,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1966.0,2020
351,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3055.0,3278
352,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,1135.0,1468
353,Round 1,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2987.0,3017
354,Round 1,"Asansol Engineering College, Asansol, Burdwan",Information Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5029.0,10542
355,Round 1,"Heritage Institute of Technology, Kolkata",Chemical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,3545.0,7124
356,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Chemical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,5664.0,8874
357,Round 1,University Of Calcutta,Chemical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2097.0,2097
358,Round 1,Jadavpur University,Chemical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,406.0,916
359,Round 1,Jadavpur University,Production Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,585.0,861
412,Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,948.0,6931
413,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,13417.0,15036
414,Round 1,"Techno India University, Salt Lake",Biotechnology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,10154.0,11153
415,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Biomedical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,7725.0,13098
416,Round 1,"Jis College of Engineering, Kalyani, Nadia",Biomedical Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,11321.0,12240
418,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4854.0,5799
419,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,9668.0,10089
420,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Food Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,8189.0,13204
423,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,4568.0,5102
426,Round 1,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering (TFW),B.E/B. Tech,Home State,Tuition Fee Waiver,2845.0,2845
